"Name","API Name","Instance Memory","vCPUs","GPUs","Instance Storage","Network Performance","On Demand","Linux Reserved cost","Linux Spot Minimum cost","Windows On Demand cost","Windows Reserved cost"
"M5A 12xlarge","m5a.12xlarge","192.0 GiB","48 vCPUs","0","EBS only","10 Gigabit","$2.0640 hourly","$1.3000 hourly","$0.5137 hourly","$4.2720 hourly","$3.5080 hourly"
"C5AD 12xlarge","c5ad.12xlarge","96.0 GiB","48 vCPUs","0","1800 GB                 (2 * 900 GB NVMe SSD)","12 Gigabit","$2.0640 hourly","$1.3000 hourly","$0.7269 hourly","$4.2720 hourly","$3.5080 hourly"
"C6GN 12xlarge","c6gn.12xlarge","96.0 GiB","48 vCPUs","0","EBS only","75 Gigabit","$2.0736 hourly","$1.3088 hourly","$0.2116 hourly","unavailable","unavailable"
"M6A 12xlarge","m6a.12xlarge","192.0 GiB","48 vCPUs","0","EBS only","18.75 Gigabit","$2.0736 hourly","$1.3717 hourly","$0.5623 hourly","$4.2816 hourly","$3.5797 hourly"
"R5AD Eight Extra Large","r5ad.8xlarge","256.0 GiB","32 vCPUs","0","1200 GB                 (2 * 600 GB NVMe SSD)","Up to 10 Gigabit","$2.0960 hourly","$1.3200 hourly","$0.6399 hourly","$3.5680 hourly","$2.7920 hourly"
"D3EN Quadruple Extra Large","d3en.4xlarge","64.0 GiB","16 vCPUs","0","111840 GB                 (8 * 13980 GB NVMe HDD)","25 Gigabit","$2.1030 hourly","$1.3250 hourly","$0.6026 hourly","$2.8390 hourly","$2.0610 hourly"
"R7I Eight Extra Large","r7i.8xlarge","256.0 GiB","32 vCPUs","0","EBS only","12.5 Gigabit","$2.1168 hourly","$1.4003 hourly","$0.3014 hourly","$3.5888 hourly","$2.8723 hourly"
"R4 High-Memory Eight Extra Large","r4.8xlarge","244.0 GiB","32 vCPUs","0","EBS only","10 Gigabit","$2.1280 hourly","$1.3440 hourly","$0.6346 hourly","$3.6000 hourly","$2.8160 hourly"
"C7I 12xlarge","c7i.12xlarge","96.0 GiB","48 vCPUs","0","EBS only","18.75 Gigabit","$2.1420 hourly","$1.4169 hourly","$0.6583 hourly","$4.3500 hourly","$3.6249 hourly"
"M8G 12xlarge","m8g.12xlarge","192.0 GiB","48 vCPUs","0","EBS only","22.5 Gigabit","$2.1542 hourly","$1.4250 hourly","$0.5258 hourly","unavailable","unavailable"
